name	encoder	decoder	B	n	support	Q	seed
B12_n256_sparse_s1_d1_seed2701	sparse_global_fixed	d1	12	256	1	1	2701
B12_n256_sparse_s1_d0_seed2702	sparse_global_fixed	d0	12	256	1	1	2702
B12_n256_sparse_s1_d1_seed2702	sparse_global_fixed	d1	12	256	1	1	2702
B12_n256_dense_d0_seed2701	dense_fixed	d0	12	256	256	1	2701
B12_n256_dense_d1_seed2701	dense_fixed	d1	12	256	256	1	2701
B12_n256_dense_d0_seed2702	dense_fixed	d0	12	256	256	1	2702
B12_n256_dense_d1_seed2702	dense_fixed	d1	12	256	256	1	2702
B12_n256_odma_Q4_d0_seed2701	odma_fixed	d0	12	256	64	4	2701
B12_n256_odma_Q4_d1_seed2701	odma_fixed	d1	12	256	64	4	2701
B12_n256_odma_Q4_d0_seed2702	odma_fixed	d0	12	256	64	4	2702
B12_n256_odma_Q4_d1_seed2702	odma_fixed	d1	12	256	64	4	2702
