name	B	J	n	K	outer	parity	degree	energy	bank	learn	steps	warmup	batch	eval_batches	eval_ebn0	candidate	seed
B128_J16_tri_K10_s1	128	16	38400	10	triadic	-	-	orthogonal_exact	subsampled_hadamard	0	400	300	1	3	1.5,2,2.5,3,3.5,4	512	2401
B128_J16_tri_K10_s2	128	16	38400	10	triadic	-	-	orthogonal_exact	subsampled_hadamard	0	400	300	1	3	1.5,2,2.5,3,3.5,4	512	2402
B128_J16_tri_K25_s1	128	16	38400	25	triadic	-	-	orthogonal_exact	subsampled_hadamard	0	400	300	1	3	1.5,2,2.5,3,3.5,4	512	2401
B128_J16_tri_K25_s2	128	16	38400	25	triadic	-	-	orthogonal_exact	subsampled_hadamard	0	400	300	1	3	1.5,2,2.5,3,3.5,4	512	2402
B128_J16_tri_K50_s1	128	16	38400	50	triadic	-	-	orthogonal_exact	subsampled_hadamard	0	400	300	1	3	1.5,2,2.5,3,3.5,4	512	2401
B128_J16_tri_K50_s2	128	16	38400	50	triadic	-	-	orthogonal_exact	subsampled_hadamard	0	400	300	1	3	1.5,2,2.5,3,3.5,4	512	2402
B128_J16_tri_K75_s1	128	16	38400	75	triadic	-	-	orthogonal_exact	subsampled_hadamard	0	400	300	1	3	1.5,2,2.5,3,3.5,4	512	2401
B128_J16_tri_K75_s2	128	16	38400	75	triadic	-	-	orthogonal_exact	subsampled_hadamard	0	400	300	1	3	1.5,2,2.5,3,3.5,4	512	2402
